# Rime user dictionary
#@/db_name	luna_pinyin
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	5126
#@/user_id	be5fbefd-d5d5-4cd5-a314-d2941824e53b
bu rang wo men 	不讓我們	c=1 d=1 t=4003
bu ren shi 	不認識	c=1 d=1 t=1323
bu shang 	不上	c=0 d=0.1 t=1720
bu shang ke 	不上課	c=1 d=1 t=3669
bu shao 	不少	c=0 d=0.1 t=2446
bu shao dong xi 	不少東西	c=1 d=1 t=2447
bu shi 	不是	c=10 d=2.08879 t=4494
bu shi de 	不是的	c=1 d=1 t=5096
bu shi wo 	不是我	c=0 d=0.1 t=5070
bu shi zhe ge 	不是這個	c=1 d=1 t=3267
bu shuang 	不爽	c=0 d=0.1 t=4140
bu tai 	不太	c=0 d=0.1 t=859
bu tai xing le 	不太行了	c=1 d=1 t=860
bu xian shi 	不顯示	c=1 d=1 t=4335
bu xiang 	不想	c=0 d=0.1 t=4295
bu xiang xie dai ma le 	不想寫代碼了	c=1 d=1 t=4296
bu xiao xin 	不小心	c=1 d=1 t=4537
bu xing 	不行	c=2 d=1.00261 t=5054
bu xing de 	不行的	c=1 d=1 t=2206
bu xu 	不許	c=0 d=0.1 t=2074
bu xu yao 	不需要	c=2 d=1 t=4762
bu xu yao a 	不許要啊	c=1 d=1 t=2075
bu yao 	不要	c=0 d=0.1 t=486
bu yao ba 	不要把	c=1 d=1 t=4890
bu ye shi 	不也是	c=1 d=1 t=4773
bu yi yang 	不一樣	c=0 d=0.1 t=2923
bu yi yang de 	不一樣的	c=0 d=0.1 t=1168
bu ying 	不應	c=1 d=1 t=3129
bu yong 	不用	c=1 d=1.01678 t=4371
bu yong kan 	不用看	c=1 d=1 t=4197
bu zai 	不在	c=1 d=1 t=2482
bu zheng 	不整	c=1 d=1 t=3809
bu zhi dao 	不知道	c=6 d=1.67399 t=5097
bu zhi dao wei he 	不知道爲何	c=1 d=1 t=3444
bu zhun 	不準	c=0 d=0.1 t=685
bu zhun yong 	不準用	c=1 d=1 t=686
bu zhuo dao 	捕捉到	c=1 d=1 t=2773
cai 	才	c=2 d=1.32465 t=4292
cai cai 	猜猜	c=1 d=1 t=4725
cai liao 	材料	c=1 d=1 t=4186
cai neng 	才能	c=1 d=1 t=3592
cai shi 	纔是	c=1 d=1 t=3896
cai wu 	財務	c=1 d=1 t=4157
cai xiang 	猜想	c=0 d=0.1 t=431
cai yang 	採樣	c=1 d=0.102699 t=3342
cai yang le 	採樣了	c=1 d=1 t=3343
can 	參	c=1 d=1 t=1128
can hui 	參會	c=1 d=1 t=1035
can jia 	參加	c=2 d=1.93707 t=1217
can kao 	參考	c=0 d=0.1 t=2517
can kao zhe ge 	參考這個	c=1 d=1 t=2518
can shu 	參數	c=9 d=1.00282 t=4905
can yu 	參與	c=1 d=1 t=3028
cang qi lai 	藏起來	c=1 d=1 t=949
cao 	草	c=11 d=1.16202 t=5063
ce 	測	c=2 d=1.03463 t=3636
ce le 	測了	c=1 d=1 t=3272
ce lve 	策略	c=1 d=0.289191 t=3483
ce shi 	測試	c=3 d=1.00867 t=4521
ce shi ji 	測試集	c=2 d=1.97045 t=3945
ce shi xia 	測試下	c=1 d=1 t=2683
ce yi bian 	測一遍	c=1 d=1 t=1981
cha 	查	c=1 d=1 t=4545
cha bie 	差別	c=0 d=0.1 t=4108
cha bie shi 	差別是	c=1 d=1 t=4109
cha bu duo le 	差不多了	c=1 d=1 t=797
cha kan 	查看	c=2 d=2.00546 t=4949
cha ru 	插入	c=1 d=1 t=3389
chang shi 	嘗試	c=4 d=1.00809 t=3522
chang tou fa 	長頭髮	c=0 d=0.1 t=4070
chang tou fa le 	長頭髮了	c=1 d=1 t=4071
chao shi 	超時	c=4 d=2.30888 t=4786
che diao 	撤掉	c=0 d=0.1 t=1551
che hui 	撤回	c=1 d=1 t=4553
